"Sample Name"	"Year"
M106	2009
M155	2009
M038	2009
M335	2009
M161	2009
M201	2009
M207	2009
M178	2009
M206	2009
M053	2009
M104	2009
M360	2009
M198	2009
M170	2009
M168	2009
M035	2009
M182	2009
M076	2009
M333	2009
M222	2009
M200	2009
M308	2009
M227	2009
M194	2009
M237	2009
M090	2009
M188	2009
M156	2009
M093	2009
M339	2009
M186	2009
M319	2009
M172	2009
M085	2009
M185	2009
M211	2009
M050	2009
M384	2009
M056	2009
M070	2009
M242	2009
M233	2009
M189	2009
M179	2009
M043	2009
M164	2009
M105	2009
M356	2009
M089	2009
M102	2009
M202	2009
M169	2009
M197	2009
M217	2009
M062	2009
M055	2009
M166	2009
M064	2009
M071	2009
M176	2009
M214	2009
M143	2009
M058	2009
M046	2009
M167	2009
M190	2009
M063	2009
M047	2009
M171	2009
M060	2009
M174	2009
M187	2009
M196	2009
M212	2009
M191	2009
M086	2009
M095	2009
M347	2009
M195	2009
M216	2009
M203	2009
M368	2009
M057	2009
M228	2009
M199	2009
M088	2009
M236	2009
M331	2009
M051	2009
M100	2009
M239	2009
M252	2009
M219	2009
M193	2009
M042	2009
M065	2009
M148	2009
M250	2009
M165	2009
M345	2009
M181	2009
M080	2009
M068	2009
M083	2009
M159	2009
M161	2009
M192	2009
M218	2009
M209	2009
M231	2009
M251	2009
M334	2009
M318	2009
M311	2009
M337	2009
M234	2009
M040	2009
M078	2009
M358	2009
M340	2009
M349	2009
M361	2009
M074	2009
M208	2009
M327	2009
M373	2009
M205	2009
M351	2009
M220	2009
M330	2009
M309	2009
M229	2009
M175	2009
M314	2009
M146	2009
M044	2009
M059	2009
M348	2009
M066	2009
M092	2009
M346	2009
M353	2009
M342	2009
M098	2009
M054	2009
M362	2009
M162	2009
M245	2009
M039	2009
M049	2009
M101	2009
M082	2009
M215	2009
M177	2009
M160	2009
B320	2011
B328	2011
B283	2011
B281	2011
B256	2011
B343	2011
B314	2011
B285	2011
B286	2011
B350	2011
B323	2011
B263	2011
B288	2011
B250	2011
B294	2011
B254	2011
B337	2011
B277	2011
B264	2011
B319	2011
B349	2011
B338	2011
B251	2011
B295	2011
B324	2011
B317	2011
B340	2011
B352	2011
B248	2011
B307	2011
B272	2011
B345	2011
B296	2011
B327	2011
B305	2011
B269	2011
B298	2011
B253	2011
B280	2011
B309	2011
B316	2011
B329	2011
B306	2011
B308	2011
B312	2011
B326	2011
B335	2011
B271	2011
B282	2011
B302	2011
B334	2011
B321	2011
B265	2011
B313	2011
B336	2011
B346	2011
B331	2011
B257	2011
B276	2011
B279	2011
B330	2011
B301	2011
B289	2011
B267	2011
B348	2011
B342	2011
B325	2011
B339	2011
B297	2011
B287	2011
B278	2011
B318	2011
B311	2011
B304	2011
B249	2011
B347	2011
B303	2011
B322	2011
B351	2011
B274	2011
B268	2011
B333	2011
B284	2011
B270	2011
B341	2011
B262	2011
B332	2011
B275	2011
B315	2011
B293	2011
B354	2011
B292	2011
B300	2011
B355	2011
B344	2011
B252	2011
KB056	2011
KB008	2011
A009	2011
KB033	2011
A004	2011
B255	2011
A024	2011
KB098	2011
A031	2011
KB052	2011
A015	2011
B266	2011
KB103	2011
TL4AH	2011
KB026	2011
KB029	2011
KB061	2011
G014	2011
B273	2011
TL3F	2011
G006	2011
B290	2011
KB011	2011
TL05	2011
KB054	2011
KB111	2011
KB066	2011
KB043	2011
B291	2011
KB028	2011
G013	2011
KB036	2011
AH22	2011
B299	2011
KB058	2011
A008	2011
TL3AH	2011
TL09	2011
B367	2011
B353	2011
A027	2011
G002	2011
KB072	2011
FL10	2011
FL1	2011
FL16	2011
F6	2011
KB112	2011
KB091	2011
KB082	2011
G011	2011
KB044	2011
KB078	2011
KB084	2011
KB055	2011
KB104	2011
G015	2011
KB108	2011
KB083	2011
A7	2011
KB030	2011
A011	2011
M223	2009
G008	2011
KB106	2011
TL10F	2011
G012	2011
KB088	2011
TL8AH	2011
KB063	2011
KB076	2011
G005	2011
KB001	2011
KB092	2011
KB087	2011
KB034	2011
KB102	2011
KB081	2011
F56	2011
FL36	2011
FL25	2011
FL50	2011
FL38	2011
FL48	2011
FL30	2011
FL8	2011
FL24	2011
F11	2011
FL32	2011
FL4	2011
F54	2011
FL51	2011
FL57	2011
FL33	2011
FL27	2011
FL21	2011
FL41	2011
FL28	2011
FL19	2011
FL53	2011
FL22	2011
FL3	2011
FL42	2011
FL44	2011
FL49	2011
FL12	2011
FL18	2011
FL14	2011
FL20	2011
A14	2011
AH12	2011
A2	2011
A003	2011
G7	2011
G4	2011
G9	2011
G1	2011
TL2F	2011
TL8F	2011
TL1F	2011
TL4F	2011
TL7F	2011
A26	2011
A18	2011
A21	2011
A23	2011
AH16	2011
A29	2011
AH28	2011
A20	2011
TLAH6	2011
TLAH5	2011
TLAH1	2011
B376	2011
B373	2011
B025	2011
B068	2011
B082	2011
B062	2011
B034	2011
B064	2011
B048	2011
B004	2011
B377	2011
B069	2011
B368	2011
B366	2011
B372	2011
FL45	2011
G10	2011
B375	2011
FL39	2011
FL43	2011
FL46	2011
FL31	2011
FL37	2011
FL40	2011
AH5	2011
A13	2011
AH17	2011
AH25	2011
TLAH7	2011
TLAH9	2011
B072	2011
B014	2011
B020	2011
B066	2011
B067	2011
FL35	2011
FL34	2011
B096	2011
B217	2011
M081	2009
B228	2011
